,RHOB,PHIN,Vp,Interval
0,2.719,0.078,,1
1,2.7075,0.0975,,1
2,2.696,0.117,,1
3,2.6845,0.1365,,1
4,2.673,0.156,,1
5,2.6615,0.1755,,1
6,2.65,0.195,,1
7,2.704,0.0655,,1
8,2.6925,0.085,,1
9,2.681,0.1045,,1
10,2.6695,0.124,,1
11,2.658,0.1435,,1
12,2.6465,0.163,,1
13,2.635,0.1825,,1
14,2.689,0.053,,1
15,2.6775,0.0725,,1
16,2.666,0.092,,1
17,2.6545,0.1115,,1
18,2.643,0.131,,1
19,2.6315,0.1505,,1
20,2.62,0.17,,1
21,2.674,0.0405,,1
22,2.6625,0.06,,1
23,2.651,0.0795,,1
24,2.6395,0.099,,1
25,2.628,0.1185,,1
26,2.6165,0.138,,1
27,2.605,0.1575,,1
28,2.659,0.028,,1
29,2.6475,0.0475,,1
30,2.636,0.067,,1
31,2.6245,0.0865,,1
32,2.613,0.106,,1
33,2.6015,0.1255,,1
34,2.59,0.145,,1
35,2.6325,0.035,,1
36,2.621,0.0545,,1
37,2.6095,0.074,,1
38,2.598,0.0935,,1
39,2.5865,0.113,,1
40,2.575,0.1325,,1
41,2.606,0.042,,1
42,2.5945,0.0615,,1
43,2.583,0.081,,1
44,2.5715,0.1005,,1
45,2.56,0.12,,1
46,2.5795,0.049,,1
47,2.568,0.0685,,1
48,2.5565,0.088,,1
49,2.545,0.1075,,1
50,2.553,0.056,,1
51,2.5415,0.0755,,1
52,2.53,0.095,,1
53,2.5265,0.063,,1
54,2.515,0.0825,5.683432793,2
55,2.5,0.07,5.681818182,2
56,2.7355,0.0695,5.995203837,2
57,2.724,0.089,5.943536404,2
58,2.7125,0.1085,5.892751915,2
59,2.701,0.128,5.842827929,2
60,2.6895,0.1475,5.793742758,2
61,2.678,0.167,5.745475438,2
62,2.6665,0.1865,5.698005698,2
63,2.7205,0.057,5.993407252,2
64,2.709,0.0765,5.941770648,2
65,2.6975,0.096,5.8910162,2
66,2.686,0.1155,5.841121495,2
67,2.6745,0.135,5.792064871,2
68,2.663,0.1545,5.743825388,2
69,2.6515,0.174,5.696382797,2
70,2.7055,0.0445,5.991611744,2
71,2.694,0.064,5.94000594,2
72,2.6825,0.0835,5.889281508,2
73,2.671,0.103,5.839416058,2
74,2.6595,0.1225,5.790387956,2
75,2.648,0.142,5.742176285,2
76,2.6365,0.1615,5.69476082,2
77,2.6905,0.032,5.989817311,2
78,2.679,0.0515,5.93824228,2
79,2.6675,,5.887547836,3
80,2.656,,5.837711617,3
81,2.6445,,5.788712012,3
82,2.633,,5.740528129,3
83,2.6215,,5.693139767,3
84,2.664,,5.936479668,3
85,2.6525,,5.885815185,3
86,2.641,,5.83600817,3
87,2.6295,,5.787037037,3
88,2.618,,5.738880918,3
89,2.6065,,5.691519636,3
90,2.6375,,5.884083554,3
91,2.626,,5.834305718,3
92,2.6145,,5.785363032,3
93,2.603,,5.737234653,3
94,2.5915,,5.689900427,3
95,2.611,,5.832604258,3
96,2.5995,,5.783689994,3
97,2.588,,5.735589332,3
98,2.5765,,5.688282139,3
99,2.5845,,5.782017924,3
